epoch,train_loss,mAP_50_95,mAP_50
1,0.3682335105707852,0.2177865240047848,0.4389472907390481
2,0.3324150255621151,0.291531118810462,0.5219034018736618
3,0.3107061819110468,0.3233641284938233,0.561137220715328
4,0.296398490607772,0.3358319293378392,0.573408197132577
5,0.2864834404340735,0.3391666006896081,0.5839785157632779
6,0.2804480329042653,0.340989483914749,0.5933658997828912
7,0.2772151292201031,0.353105251810327,0.5977492085432945
8,0.2745872528346775,0.3094137224290148,0.53634512566386
9,0.2716482145250313,0.3450934305388003,0.5903044801099355
10,0.2700161989472034,0.3465262880063425,0.5892827040832752
11,0.2704307088557093,0.3550245167027328,0.5939578832822251
12,0.269045164666835,0.3502421438985533,0.5899014328165777
13,0.2668340541346854,0.3442839982705938,0.5895700854669365
14,0.2670624506676586,0.3507233933183356,0.5959967214539768
15,0.2657598766825489,0.3514458762922829,0.5968752042447955
16,0.2642399851996284,0.3654959529312744,0.6048646433545445
17,0.2640949532129542,0.3607235573455681,0.5939760779322114
18,0.2628280912584684,0.3416214580754753,0.5864784068317276
19,0.2622252389906092,0.348312467163658,0.6082315787577814
20,0.2610686359025101,0.358814149851044,0.6056743956569751
21,0.2576884571127258,0.3364627345465235,0.566042784909421
22,0.2583423298242426,0.3719480557771812,0.6227088645318651
23,0.2574456355417029,0.3584794742276962,0.6056324064997024
24,0.2573008103329722,0.3600152656824027,0.6026434500260939
25,0.257991398100716,0.3487536373388994,0.5978042576592065
26,0.2569944572416847,0.3619121167293274,0.6145054823391183
27,0.2543551812816814,0.3589697952962659,0.6129514109106399
28,0.2534456652878607,0.3636970531030798,0.6131802283941766
29,0.2542099886296971,0.3569991003858412,0.6137263632543962
30,0.250572543337874,0.3366002403545525,0.5764659574573855
31,0.2513468700540797,0.3708928400255416,0.6254404386318829
32,0.2533788717775563,0.3764608407390452,0.6284970894979042
33,0.2496353066488597,0.3564337884200438,0.6022749815002091
34,0.2507847872134801,0.3587098932875526,0.6046838249890613
35,0.2091645108917644,0.4211735860700736,0.6789819136644659
36,0.2014221817968195,0.4235488670373474,0.6790705164213079
37,0.1986909773112652,0.4252466925717209,0.6848659962592537
38,0.196229444529341,0.4286555428007146,0.6904868223336438
39,0.1942269795530198,0.4219591717440832,0.678764487719703
40,0.1930855217213566,0.427766031890737,0.691414615246797
41,0.1917527804524545,0.4260556618961158,0.6830690860489218
42,0.1903755638307916,0.4287809720759952,0.690335499679863
43,0.1895725733004846,0.4284976757036587,0.6906936750287288
44,0.1884154592250549,0.4280825695786797,0.6892906188295189
45,0.1864611918685605,0.4303887052522698,0.6933416881447539
46,0.1783670872164605,0.4354482857869526,0.6998862899850541
47,0.1773173088237206,0.4332014928109401,0.6981433246119849
48,0.1768197059406907,0.4332775115620246,0.6965877946206194
49,0.176388809806038,0.435457989185853,0.6986735088242112
50,0.176197991895632,0.4345065185639338,0.6998703927399577
