model,category_id,class_name,tp,fp,fn,precision,recall,f1
VGG16-4,4,iron_shoe,202,655,108,0.23570595099183198,0.6516129032258065,0.34618680377035127
VGG16-4,5,straight_knife,137,343,49,0.28541666666666665,0.7365591397849462,0.4114114114114114
VGG16-4,6,folding_knife,15,59,39,0.20270270270270271,0.2777777777777778,0.234375
VGG16-4,7,scissor,209,239,49,0.46651785714285715,0.810077519379845,0.5920679886685553
VGG16-4,8,multi-tool_knife,345,348,24,0.49783549783549785,0.9349593495934959,0.6497175141242938
VGG16-4,9,umbrella,395,292,39,0.5749636098981077,0.9101382488479263,0.7047279214986618
VGG16-4,10,glass_bottle,483,1111,122,0.30301129234629864,0.7983471074380165,0.4392905866302865
VGG16-4,11,battery,744,1700,221,0.3044189852700491,0.7709844559585493,0.43649163977706074
VGG16-4,12,metal_cup,520,271,19,0.6573957016434893,0.9647495361781077,0.7819548872180452
VGG16-4,13,nail_clippers,246,335,75,0.423407917383821,0.7663551401869159,0.5454545454545455
VGG16-4,14,pressure_tank,179,255,37,0.41244239631336405,0.8287037037037037,0.5507692307692308
VGG16-4,15,spray_alcohol,299,1236,194,0.19478827361563517,0.6064908722109533,0.2948717948717949
VGG16-4,16,portable_charger_1,318,358,35,0.47041420118343197,0.9008498583569405,0.6180758017492712
VGG16-4,17,utility_knife,142,149,36,0.4879725085910653,0.797752808988764,0.6055437100213219
VGG16-4,18,mobile_phone,986,712,85,0.5806831566548881,0.9206349206349206,0.7121704586493318
VGG16-4,19,metal_can,337,679,54,0.3316929133858268,0.8618925831202046,0.47903340440653874
VGG16-4,20,drink_bottle,96,334,44,0.22325581395348837,0.6857142857142857,0.3368421052631579
YOLOv11-1,1,laptop,536,70,15,0.8844884488448845,0.9727767695099818,0.9265341400172861
YOLOv11-1,2,lighter,86,39,91,0.688,0.4858757062146893,0.5695364238410596
YOLOv11-1,3,portable_charger_2,333,79,52,0.808252427184466,0.8649350649350649,0.8356336260978671
YOLOv11-1,4,iron_shoe,210,47,100,0.8171206225680934,0.6774193548387096,0.7407407407407407
YOLOv11-1,5,straight_knife,131,53,55,0.7119565217391305,0.7043010752688172,0.7081081081081081
YOLOv11-1,6,folding_knife,21,17,33,0.5526315789473685,0.3888888888888889,0.4565217391304348
YOLOv11-1,7,scissor,207,27,51,0.8846153846153846,0.8023255813953488,0.8414634146341462
YOLOv11-1,8,multi-tool_knife,339,97,30,0.7775229357798165,0.9186991869918699,0.8422360248447205
YOLOv11-1,9,umbrella,404,68,30,0.8559322033898306,0.9308755760368663,0.891832229580574
YOLOv11-1,10,glass_bottle,445,169,160,0.7247557003257329,0.7355371900826446,0.7301066447908121
YOLOv11-1,11,battery,628,376,337,0.6254980079681275,0.6507772020725389,0.6378872524123921
YOLOv11-1,12,metal_cup,520,43,19,0.9236234458259325,0.9647495361781077,0.9437386569872959
YOLOv11-1,13,nail_clippers,224,42,97,0.8421052631578947,0.6978193146417445,0.7632027257240203
YOLOv11-1,14,pressure_tank,181,49,35,0.7869565217391304,0.8379629629629629,0.811659192825112
YOLOv11-1,15,spray_alcohol,260,106,233,0.7103825136612022,0.5273833671399595,0.6053550640279395
YOLOv11-1,16,portable_charger_1,308,83,45,0.7877237851662404,0.8725212464589235,0.8279569892473118
YOLOv11-1,17,utility_knife,140,61,38,0.6965174129353234,0.7865168539325843,0.7387862796833774
YOLOv11-1,18,mobile_phone,973,183,98,0.8416955017301038,0.9084967320261438,0.8738212842388864
YOLOv11-1,19,metal_can,296,134,95,0.6883720930232559,0.7570332480818415,0.7210718635809988
YOLOv11-1,20,drink_bottle,92,70,48,0.5679012345679012,0.6571428571428571,0.6092715231788078
