rank,tp,fp,fn,precision,recall,f1,macro_f1,mAP_50_95,AP_50,AP_75,AR_100,model,run_id,confidence,iou,inference_ms,best_f1,best_confidence
1,6334,1813,1662,0.7774640972136982,0.7921460730365183,0.7847364182617853,0.7537731961845946,0.5441332990671588,0.7701719517160043,0.6173141054751957,0.6603823104345423,YOLOv11-1,YOLOv11-1,0.25,0.5,,0.8008907518993975,0.4
2,6863,5001,1133,0.5784726904922455,0.858304152076038,0.6911379657603223,0.6708042091333628,0.5490274493525887,0.7739616878595728,0.6258869656526236,0.6973510087481247,RT-DETR-1,RT-DETR-1,0.25,0.5,,0.8015447048042939,0.6
3,6611,9871,1385,0.4011042349229462,0.8267883941970986,0.5401585096821636,0.5264494245085932,0.4289369572960289,0.68926179164502,0.4711436487678129,0.5886690397550519,VGG16-4,VGG16-4,0.25,0.5,,0.7324921556846252,0.8
4,5777,15975,2219,0.2655847738139021,0.7224862431215607,0.3883958585451122,0.3734408432216217,0.30590696820059,0.5164121801761101,0.3284424524749589,0.4930911641113935,EfficientNet-1,EfficientNet-1,0.25,0.5,,0.6016358679188124,0.8
5,5818,16788,2178,0.2573653012474564,0.7276138069034517,0.3802365858440625,0.3685009849597439,0.30194965817761,0.511515073104701,0.3202004632996338,0.4922148807082352,ResNet50-1,ResNet50-1,0.25,0.5,,0.5982776438167413,0.7
