epoch,train_loss,mAP_50_95,mAP_50
1,0.3714766202880455,0.1907944831261887,0.3765077187812045
2,0.3496264904502544,0.2116218612635499,0.4165424943332604
3,0.3331896801378477,0.2292846036790665,0.4232817263522562
4,0.3196398218363724,0.2321368533256004,0.4310990364876301
5,0.3177453325650243,0.2304739613520157,0.4228609876000487
6,0.3098112529051398,0.2453805260439233,0.4367713957520234
7,0.3084817765867925,0.2386317355173488,0.4286549259768482
8,0.3070758067893686,0.2339622736401761,0.4198769710952171
9,0.3053839802716833,0.2390496796099731,0.4209452271077354
10,0.3041922057374708,0.2349327153345816,0.4201106875826732
11,0.3004170336022235,0.2385475640119972,0.419859261197624
12,0.2988613943611313,0.2271675439258353,0.4111238503329205
13,0.2989820614230593,0.242408290206116,0.4220620805302867
14,0.2966218927816429,0.2329120560938434,0.4131605423258546
15,0.2931836883973766,0.2422639572207049,0.425460614754887
16,0.2917340597850983,0.2276840654561342,0.3938858442293616
17,0.2898511382696629,0.2395209874856938,0.4210585831952276
18,0.2861096740364692,0.2441718655073486,0.4221340690504583
19,0.2859240178597738,0.2384135988148085,0.4137160117430874
20,0.2855705438030733,0.2401462682784233,0.4164993485679696
21,0.283543393973194,0.2370053545118376,0.411285438452861
22,0.2833686001246442,0.2482751486912051,0.4252217920501476
23,0.2829684184176159,0.2479868832253753,0.4262148060343524
24,0.2814810930331749,0.2302328724175496,0.4079781713174216
25,0.2813727152063973,0.245323908069209,0.4276704933614643
26,0.2807633373072488,0.2485473453259037,0.4318128422840324
27,0.279349551956077,0.2381396280776716,0.4157975264497636
28,0.2796790130939838,0.2458231913364904,0.426162422346359
29,0.2806093646976929,0.2470507377903146,0.4340172696585429
30,0.2811037416309789,0.2358789539166527,0.4113384569718325
31,0.2776903359404018,0.2498308441548052,0.4324366590445382
32,0.279261181923049,0.2570812366841138,0.4457814845414366
33,0.2785384798078453,0.2351198954479277,0.4133873975722952
34,0.2770464424287212,0.2499239062476919,0.4343767507270796
35,0.2490555010454913,0.2904636162285932,0.4853191633630696
36,0.2445304788070152,0.2919353795284884,0.4905693952562436
37,0.2420219321605153,0.2987854303806352,0.4920594775521105
38,0.2411132002517849,0.2946976444292551,0.4933283489014972
39,0.2385081440831224,0.2925289278928059,0.4923336621460429
40,0.2371387917531637,0.2992221093973865,0.4976383977465299
41,0.2368565688945923,0.2958560915118973,0.4893155724399836
42,0.2355520813683937,0.2958488890950065,0.4924397468818465
43,0.2340141004442262,0.2945438866000948,0.4917551239342946
44,0.2330515411413937,0.2961151748216282,0.4918089393125996
45,0.2331957092047207,0.2979065137642135,0.4934790792118265
46,0.2273359231566926,0.3012482758360986,0.500687468927275
47,0.2263115420656463,0.300691216271495,0.4973520855967495
48,0.2252576669787165,0.3005189129408855,0.4999938680899311
49,0.2253778002048666,0.3012839019182924,0.499200118959979
50,0.225316221254819,0.3021032497458553,0.4993314165371119
