epoch,train_loss,mAP_50_95,mAP_50
1,0.3690128866708963,0.2274168821870177,0.4350120492952151
2,0.3367954429616598,0.2762675051545496,0.5001034010248353
3,0.326001565869864,0.259591678548621,0.4663254476643214
4,0.325841716035932,0.2600912033573432,0.4608710719774089
5,0.3269548977775549,0.2358053869274502,0.4180615084597216
6,0.3264257211607319,0.2407724376477638,0.4190158175375815
7,0.3258600511370008,0.2339817552017843,0.4099546207611852
8,0.3255851522113221,0.2333469680611283,0.4041648450053687
9,0.3220792879014871,0.232258293102483,0.4058081919467482
10,0.3193913083640976,0.2314116630986247,0.3989373122494611
11,0.3179908651145393,0.2232239177587083,0.3939484482884564
12,0.3162823201257836,0.2239044119948718,0.4000934187578759
13,0.315466894555065,0.2233431864791883,0.3889222234955428
14,0.3135092956701981,0.2260529229382327,0.4023957511460174
15,0.3136076351795513,0.2237774130068167,0.3994032409879163
16,0.3121170855639082,0.2122761599175233,0.3655057256215339
17,0.3106874400565216,0.2316876556512153,0.4083074136652618
18,0.311160361531887,0.2293505242465366,0.402503045368447
19,0.3077945674073186,0.2332517421516124,0.4041928950402892
20,0.3059172926747517,0.2245846879515126,0.3967109448549911
21,0.3073064702881819,0.2353151877983877,0.411713512064301
22,0.3045983996535945,0.240922204232052,0.418077837116288
23,0.3035818825912166,0.2229811005024481,0.3941656664746382
24,0.3037413465656206,0.2372259419402925,0.4133364629589618
25,0.3023805661512925,0.2365940961895762,0.4138341667934053
26,0.2999412627211092,0.2358962844745958,0.4171584738861163
27,0.3002726305058008,0.2494825028857909,0.4301277018534312
28,0.2995646511573713,0.2422647184404726,0.4301895069575772
29,0.2980632329678482,0.2272095366201508,0.4004442100783712
30,0.298824706869955,0.2527844533600223,0.4376475918470437
31,0.2965624469500202,0.2389718756067448,0.4364994430950412
32,0.2943553461072346,0.2484179947059299,0.4366127205960154
33,0.2955053965082845,0.2483915315370549,0.4427492834093688
34,0.2940510455116227,0.2431232141538338,0.4331964533188656
35,0.270008514297975,0.2848256294021842,0.4831809949893275
36,0.2633472292042161,0.2908624475426319,0.4862222577377977
37,0.2608113536854518,0.2915030841399437,0.493059728020423
38,0.2596600161739499,0.2948480913444109,0.4958865153723465
39,0.258491438398188,0.2944690437738831,0.4958528294100121
40,0.2566304350506749,0.2918799808104163,0.4927473607824796
41,0.2554975381221723,0.2974253803785618,0.4986305653807862
42,0.2546559955882798,0.2949017910981476,0.4988068247199598
43,0.2546716181435496,0.2986471407871541,0.5020331076395461
44,0.2534413516974529,0.2972312916631819,0.5012083388999383
45,0.2525678529857179,0.2948445532977489,0.4982565837704238
46,0.2476571940095373,0.3029042837460302,0.5078884326969285
47,0.2463535591997709,0.3026420180425033,0.5079761210931772
48,0.246724569430021,0.3027092566682141,0.5078556657736614
49,0.2459882011771336,0.3023371156707813,0.5078334292731478
50,0.2459935315142108,0.303435372043006,0.5077603914237132
